Team,W,L,PCT,GB,Division,League
Toronto Blue Jays,77,56,0.579,6.0,Unknown,Unknown
Boston Red Sox,73,60,0.549,10.0,Unknown,Unknown
New York Yankees,73,60,0.549,10.0,Unknown,Unknown
Tampa Bay Rays,64,69,0.481,19.0,Unknown,Unknown
Baltimore Orioles,60,72,0.455,22.5,Unknown,Unknown
Detroit Tigers,78,56,0.582,5.5,Unknown,Unknown
Kansas City Royals,68,65,0.511,15.0,Unknown,Unknown
Cleveland Guardians,66,66,0.5,16.5,Unknown,Unknown
Minnesota Twins,60,72,0.455,22.5,Unknown,Unknown
Chicago White Sox,48,84,0.364,34.5,Unknown,Unknown
Houston Astros,72,60,0.545,10.5,Unknown,Unknown
Seattle Mariners,71,62,0.534,12.0,Unknown,Unknown
Texas Rangers,67,67,0.5,16.5,Unknown,Unknown
Los Angeles Angels,62,70,0.47,20.5,Unknown,Unknown
Athletics,62,72,0.463,21.5,Unknown,Unknown
Philadelphia Phillies,76,56,0.576,6.5,Unknown,Unknown
New York Mets,71,61,0.538,11.5,Unknown,Unknown
Miami Marlins,62,71,0.466,21.0,Unknown,Unknown
Atlanta Braves,61,72,0.459,22.0,Unknown,Unknown
Washington Nationals,53,80,0.398,30.0,Unknown,Unknown
Milwaukee Brewers,83,50,0.624,-,Unknown,Unknown
Chicago Cubs,76,56,0.576,6.5,Unknown,Unknown
Cincinnati Reds,68,65,0.511,15.0,Unknown,Unknown
St. Louis Cardinals,65,68,0.489,18.0,Unknown,Unknown
Pittsburgh Pirates,58,75,0.436,25.0,Unknown,Unknown
Los Angeles Dodgers,76,57,0.571,7.0,Unknown,Unknown
San Diego Padres,75,58,0.564,8.0,Unknown,Unknown
San Francisco Giants,64,68,0.485,18.5,Unknown,Unknown
Arizona Diamondbacks,64,69,0.481,19.0,Unknown,Unknown
Colorado Rockies,38,94,0.288,44.5,Unknown,Unknown
